uid,status,bytes,seconds
0,200,49376,0.029041
1,200,49376,0.026112
2,200,49376,0.011646
3,200,49376,0.011957
4,200,49376,0.011675
5,200,49376,0.013607
6,200,49376,0.017076
7,200,49376,0.013767
8,200,49376,0.018041
9,200,49376,0.016229
10,200,49376,0.013349
11,200,49376,0.017107
12,200,49376,0.049203
13,200,49376,0.069565
14,200,49376,0.036788
15,200,49376,0.046393
16,200,49376,0.037133
17,200,49376,0.105521
18,200,49376,0.040035
19,200,49376,0.039462
20,200,49376,0.100927
21,200,49376,0.099775
22,200,49376,0.062850
23,200,49376,0.072344
24,200,49376,0.085991
25,200,49376,0.083229
26,200,49376,0.084256
27,200,49376,0.079747
28,200,49376,0.103906
29,200,49376,0.068214
30,200,49376,0.075420
31,200,49376,0.068764
32,200,49376,0.093962
33,200,49376,0.055662
34,200,49376,0.068642
35,200,49376,0.168777
36,200,49376,0.126014
37,200,49376,0.136724
38,200,49376,0.074674
39,200,49376,0.158167
40,200,49376,0.127796
41,200,49376,0.102479
42,200,49376,0.081997
43,200,49376,0.134110
44,200,49376,0.087494
45,200,49376,0.073531
46,200,49376,0.143096
47,200,49376,0.104647
48,200,49376,0.157817
49,200,49376,0.140991
50,200,49376,0.146931
51,200,49376,0.123333
52,200,49376,0.089828
53,200,49376,0.128361
54,200,49376,0.128444
55,200,49376,0.127818
56,200,49376,0.155144
57,200,49376,0.074805
58,200,49376,0.037739
59,200,49376,0.084456
60,200,49376,0.149006
61,200,49376,0.079741
62,200,49376,0.153855
63,200,49376,0.137511
64,200,49376,0.137331
65,200,49376,0.121243
66,200,49376,0.110571
67,200,49376,0.102729
68,200,49376,0.133857
69,200,49376,0.128178
70,200,49376,0.119475
71,200,49376,0.115406
72,200,49376,0.112642
73,200,49376,0.050701
74,200,49376,0.078981
75,200,49376,0.104756
76,200,49376,0.099791
77,200,49376,0.099437
78,200,49376,0.070566
79,200,49376,0.101052
80,200,49376,0.043853
81,200,49376,0.042689
82,200,49376,0.026573
83,200,49376,0.042435
84,200,49376,0.058114
85,200,49376,0.059546
86,200,49376,0.064580
87,200,49376,0.049572
88,200,49376,0.074362
89,200,49376,0.079276
90,200,49376,0.051574
91,200,49376,0.056256
92,200,49376,0.034219
93,200,49376,0.045530
94,200,49376,0.054956
95,200,49376,0.040071
96,200,49376,0.054584
97,200,49376,0.060218
98,200,49376,0.028590
99,200,49376,0.060564
