1790056428.185517965|book_reviews_mongodb_scale|70.53%|185.9MiB / 7.406GiB|71
1790056428.185517965|proyecto-del-curso-grupo_10_los_inhackeables-db-1|7.12%|50.59MiB / 7.406GiB|6
1790056432.995212718|book_reviews_nginx_scale|159.58%|36.31MiB / 7.406GiB|18
1790056432.995212718|book_reviews_app1_scale|135.95%|186.1MiB / 7.406GiB|55
1790056432.995212718|book_reviews_app3_scale|137.41%|192.7MiB / 7.406GiB|55
1790056432.995212718|book_reviews_app2_scale|134.42%|199.9MiB / 7.406GiB|55
1790056432.995212718|book_reviews_search_scale|1.12%|1010MiB / 7.406GiB|127
1790056432.995212718|book_reviews_cache_scale|6.71%|4.215MiB / 7.406GiB|6
1790056432.995212718|book_reviews_mongodb_scale|88.19%|185.6MiB / 7.406GiB|71
1790056432.995212718|proyecto-del-curso-grupo_10_los_inhackeables-db-1|0.00%|50.59MiB / 7.406GiB|6
