timestamp|container|cpu_percent|mem_usage|mem_limit|processes
1790212418.336025261|book_reviews_app3_scale|1.40%|138.6MiB|7.406GiB|55
1790212418.336025261|book_reviews_app1_scale|1.08%|161.2MiB|7.406GiB|55
1790212418.336025261|book_reviews_app2_scale|1.07%|148MiB|7.406GiB|55
1790212418.336025261|book_reviews_cache|0.31%|11.64MiB|7.406GiB|6
1790212418.336025261|book_reviews_search|0.70%|621.1MiB|7.406GiB|130
1790212418.336025261|book_reviews_mongodb|0.69%|164.9MiB|7.406GiB|71
1790212418.336025261|k3d-sa-a4-serverlb|0.00%|5.371MiB|7.406GiB|27
1790212418.336025261|k3d-sa-a4-agent-0|5.08%|1.455GiB|7.406GiB|329
1790212418.336025261|k3d-sa-a4-server-0|9.66%|1.386GiB|7.406GiB|433
1790212418.336025261|k3d-a4-registry|0.00%|13.15MiB|7.406GiB|19
1790212418.336025261|proyecto-del-curso-grupo_10_los_inhackeables-db-1|0.73%|32.02MiB|7.406GiB|6
