1790211582.991057938|book_reviews_app_full|threads|56
1790211582.991057938|k3d-sa-a4-serverlb|threads|28
1790211582.991057938|k3d-sa-a4-agent-0|threads|306
1790211582.991057938|k3d-sa-a4-server-0|threads|432
1790211582.991057938|k3d-a4-registry|threads|20
1790211582.991057938|book_reviews_cache|threads|7
1790211582.991057938|book_reviews_mongodb|threads|84
1790211582.991057938|book_reviews_search|threads|130
1790211582.991057938|book_reviews_nginx_scale|threads|19
1790211582.991057938|book_reviews_app3_scale|threads|56
1790211582.991057938|book_reviews_app1_scale|threads|56
1790211582.991057938|book_reviews_app2_scale|threads|56
1790211582.991057938|proyecto-del-curso-grupo_10_los_inhackeables-db-1|threads|7
1790211589.373501475|book_reviews_app_full|threads|56
1790211589.373501475|k3d-sa-a4-serverlb|threads|28
1790211589.373501475|k3d-sa-a4-agent-0|threads|306
1790211589.373501475|k3d-sa-a4-server-0|threads|432
1790211589.373501475|k3d-a4-registry|threads|20
1790211589.373501475|book_reviews_cache|threads|7
1790211589.373501475|book_reviews_mongodb|threads|84
1790211589.373501475|book_reviews_search|threads|133
1790211589.373501475|book_reviews_nginx_scale|threads|19
1790211589.373501475|book_reviews_app3_scale|threads|56
1790211589.373501475|book_reviews_app1_scale|threads|56
1790211589.373501475|book_reviews_app2_scale|threads|56
1790211589.373501475|proyecto-del-curso-grupo_10_los_inhackeables-db-1|threads|7
1790211595.527888383|book_reviews_app_full|threads|56
1790211595.527888383|k3d-sa-a4-serverlb|threads|28
1790211595.527888383|k3d-sa-a4-agent-0|threads|306
1790211595.527888383|k3d-sa-a4-server-0|threads|432
1790211595.527888383|k3d-a4-registry|threads|20
1790211595.527888383|book_reviews_cache|threads|7
1790211595.527888383|book_reviews_mongodb|threads|97
1790211595.527888383|book_reviews_search|threads|133
1790211595.527888383|book_reviews_nginx_scale|threads|19
1790211595.527888383|book_reviews_app3_scale|threads|56
1790211595.527888383|book_reviews_app1_scale|threads|56
1790211595.527888383|book_reviews_app2_scale|threads|56
1790211595.527888383|proyecto-del-curso-grupo_10_los_inhackeables-db-1|threads|8
1790211601.788511104|book_reviews_app_full|threads|56
1790211601.788511104|k3d-sa-a4-serverlb|threads|28
1790211601.788511104|k3d-sa-a4-agent-0|threads|312
1790211601.788511104|k3d-sa-a4-server-0|threads|432
1790211601.788511104|k3d-a4-registry|threads|20
1790211601.788511104|book_reviews_cache|threads|7
1790211601.788511104|book_reviews_mongodb|threads|95
1790211601.788511104|book_reviews_search|threads|142
1790211601.788511104|book_reviews_nginx_scale|threads|19
1790211601.788511104|book_reviews_app3_scale|threads|56
1790211601.788511104|book_reviews_app1_scale|threads|56
1790211601.788511104|book_reviews_app2_scale|threads|56
1790211601.788511104|proyecto-del-curso-grupo_10_los_inhackeables-db-1|threads|7
1790211609.947018023|book_reviews_app_full|threads|56
1790211609.947018023|k3d-sa-a4-serverlb|threads|28
1790211609.947018023|k3d-sa-a4-agent-0|threads|309
1790211609.947018023|k3d-sa-a4-server-0|threads|432
1790211609.947018023|k3d-a4-registry|threads|20
1790211609.947018023|book_reviews_cache|threads|7
1790211609.947018023|book_reviews_mongodb|threads|95
1790211609.947018023|book_reviews_search|threads|141
1790211609.947018023|book_reviews_nginx_scale|threads|19
1790211609.947018023|book_reviews_app3_scale|threads|56
1790211609.947018023|book_reviews_app1_scale|threads|56
1790211609.947018023|book_reviews_app2_scale|threads|56
1790211609.947018023|proyecto-del-curso-grupo_10_los_inhackeables-db-1|threads|7
1790211617.728708512|book_reviews_app_full|threads|56
1790211617.728708512|k3d-sa-a4-serverlb|threads|28
1790211617.728708512|k3d-sa-a4-agent-0|threads|309
1790211617.728708512|k3d-sa-a4-server-0|threads|432
1790211617.728708512|k3d-a4-registry|threads|20
1790211617.728708512|book_reviews_cache|threads|7
1790211617.728708512|book_reviews_mongodb|threads|95
1790211617.728708512|book_reviews_search|threads|141
1790211617.728708512|book_reviews_nginx_scale|threads|19
1790211617.728708512|book_reviews_app3_scale|threads|56
1790211617.728708512|book_reviews_app1_scale|threads|56
1790211617.728708512|book_reviews_app2_scale|threads|56
1790211617.728708512|proyecto-del-curso-grupo_10_los_inhackeables-db-1|threads|7
1790211624.874188281|book_reviews_app_full|threads|56
1790211624.874188281|k3d-sa-a4-serverlb|threads|28
1790211624.874188281|k3d-sa-a4-agent-0|threads|309
1790211624.874188281|k3d-sa-a4-server-0|threads|432
1790211624.874188281|k3d-a4-registry|threads|20
