uid,status,bytes,seconds
0,200,66069,0.114248
1,200,66069,0.105638
2,200,66069,0.107419
3,200,66069,0.023209
4,200,66069,0.122079
5,200,66069,0.150325
6,200,66069,0.078332
7,200,66069,0.111339
8,200,66069,0.082053
9,200,66069,0.083856
10,200,66069,0.050123
11,200,66069,0.015887
12,200,66069,0.014359
13,200,66069,0.015301
14,200,66069,0.013770
15,200,66069,0.066297
16,200,66069,0.018497
17,200,66069,0.062632
18,200,66069,0.083377
19,200,66069,0.018066
20,200,66069,0.060016
21,200,66069,0.082392
22,200,66069,0.071350
23,200,66069,0.107944
24,200,66069,0.088794
25,200,66069,0.133375
26,200,66069,0.120125
27,200,66069,0.113792
28,200,66069,0.091560
29,200,66069,0.066553
30,200,66069,0.086607
31,200,66069,0.117781
32,200,66069,0.097338
33,200,66069,0.116601
34,200,66069,0.081730
35,200,66069,0.111927
36,200,66069,0.097216
37,200,66069,0.116072
38,200,66069,0.100290
39,200,66069,0.094761
40,200,66069,0.118196
41,200,66069,0.146507
42,200,66069,0.106981
43,200,66069,0.100606
44,200,66069,0.125889
45,200,66069,0.070975
46,200,66069,0.074698
47,200,66069,0.105784
48,200,66069,0.087667
49,200,66069,0.104800
50,200,66069,0.094817
51,200,66069,0.107048
52,200,66069,0.107909
53,200,66069,0.108079
54,200,66069,0.129742
55,200,66069,0.095568
56,200,66069,0.074556
57,200,66069,0.156402
58,200,66069,0.111964
59,200,66069,0.102051
60,200,66069,0.130093
61,200,66069,0.087679
62,200,66069,0.093383
63,200,66069,0.105213
64,200,66069,0.083285
65,200,66069,0.087627
66,200,66069,0.084072
67,200,66069,0.082875
68,200,66069,0.088754
69,200,66069,0.091797
70,200,66069,0.117203
71,200,66069,0.079634
72,200,66069,0.113745
73,200,66069,0.093767
74,200,66069,0.097457
75,200,66069,0.095288
76,200,66069,0.070470
77,200,66069,0.096247
78,200,66069,0.103158
79,200,66069,0.084198
80,200,66069,0.073277
81,200,66069,0.054995
82,200,66069,0.109943
83,200,66069,0.067995
84,200,66069,0.096900
85,200,66069,0.065018
86,200,66069,0.090904
87,200,66069,0.099303
88,200,66069,0.110972
89,200,66069,0.083608
90,200,66069,0.078933
91,200,66069,0.078791
92,200,66069,0.063220
93,200,66069,0.053099
94,200,66069,0.058045
95,200,66069,0.092601
96,200,66069,0.071124
97,200,66069,0.059770
98,200,66069,0.067160
99,200,66069,0.055381
100,200,66069,0.099280
101,200,66069,0.072686
102,200,66069,0.084023
103,200,66069,0.151078
104,200,66069,0.079607
105,200,66069,0.091733
106,200,66069,0.061202
107,200,66069,0.110081
108,200,66069,0.071115
109,200,66069,0.069209
110,200,66069,0.052081
111,200,66069,0.070085
112,200,66069,0.066454
113,200,66069,0.072680
114,200,66069,0.061457
115,200,66069,0.099231
116,200,66069,0.130955
117,200,66069,0.084004
118,200,66069,0.104363
119,200,66069,0.062944
120,200,66069,0.119003
121,200,66069,0.101007
122,200,66069,0.101548
123,200,66069,0.052604
124,200,66069,0.070632
125,200,66069,0.038096
126,200,66069,0.076394
127,200,66069,0.096214
128,200,66069,0.112658
129,200,66069,0.075143
130,200,66069,0.086330
131,200,66069,0.051299
132,200,66069,0.086094
133,200,66069,0.101642
134,200,66069,0.085652
135,200,66069,0.067413
136,200,66069,0.086472
137,200,66069,0.058073
138,200,66069,0.104565
139,200,66069,0.086304
140,200,66069,0.096178
141,200,66069,0.087638
142,200,66069,0.088111
143,200,66069,0.083461
144,200,66069,0.064299
145,200,66069,0.098643
146,200,66069,0.109434
147,200,66069,0.060018
148,200,66069,0.026805
149,200,66069,0.080316
150,200,66069,0.089916
151,200,66069,0.080630
152,200,66069,0.069322
153,200,66069,0.112799
154,200,66069,0.069201
155,200,66069,0.076536
156,200,66069,0.091523
157,200,66069,0.126038
158,200,66069,0.051223
159,200,66069,0.075179
160,200,66069,0.050800
161,200,66069,0.093899
162,200,66069,0.107574
163,200,66069,0.049086
164,200,66069,0.066760
165,200,66069,0.050082
166,200,66069,0.073561
167,200,66069,0.056422
168,200,66069,0.050516
169,200,66069,0.090717
170,200,66069,0.077845
171,200,66069,0.062077
172,200,66069,0.044431
173,200,66069,0.093324
174,200,66069,0.092052
175,200,66069,0.078222
176,200,66069,0.043400
177,200,66069,0.075205
178,200,66069,0.059984
179,200,66069,0.076628
180,200,66069,0.055577
181,200,66069,0.077005
182,200,66069,0.097084
183,200,66069,0.057425
184,200,66069,0.073466
185,200,66069,0.087614
186,200,66069,0.079752
187,200,66069,0.070684
188,200,66069,0.093781
189,200,66069,0.071494
190,200,66069,0.092536
191,200,66069,0.094055
192,200,66069,0.090909
