1790211971.915222326|book_reviews_cache|threads|7
1790211971.915222326|book_reviews_search|threads|127
1790211971.915222326|book_reviews_mongodb|threads|72
1790211971.915222326|k3d-sa-a4-serverlb|threads|28
1790211971.915222326|k3d-sa-a4-agent-0|threads|329
1790211971.915222326|k3d-sa-a4-server-0|threads|434
1790211971.915222326|k3d-a4-registry|threads|20
1790211971.915222326|book_reviews_nginx_scale|threads|19
1790211971.915222326|book_reviews_app3_scale|threads|56
1790211971.915222326|book_reviews_app1_scale|threads|56
1790211971.915222326|book_reviews_app2_scale|threads|56
1790211971.915222326|proyecto-del-curso-grupo_10_los_inhackeables-db-1|threads|7
1790211977.758122699|book_reviews_cache|threads|7
1790211977.758122699|book_reviews_search|threads|127
1790211977.758122699|book_reviews_mongodb|threads|73
1790211977.758122699|k3d-sa-a4-serverlb|threads|28
1790211977.758122699|k3d-sa-a4-agent-0|threads|329
1790211977.758122699|k3d-sa-a4-server-0|threads|434
1790211977.758122699|k3d-a4-registry|threads|20
1790211977.758122699|book_reviews_nginx_scale|threads|19
1790211977.758122699|book_reviews_app3_scale|threads|56
1790211977.758122699|book_reviews_app1_scale|threads|56
1790211977.758122699|book_reviews_app2_scale|threads|56
1790211977.758122699|proyecto-del-curso-grupo_10_los_inhackeables-db-1|threads|7
1790211983.051204365|book_reviews_cache|threads|7
1790211983.051204365|book_reviews_search|threads|127
1790211983.051204365|book_reviews_mongodb|threads|78
1790211983.051204365|k3d-sa-a4-serverlb|threads|28
1790211983.051204365|k3d-sa-a4-agent-0|threads|329
1790211983.051204365|k3d-sa-a4-server-0|threads|434
1790211983.051204365|k3d-a4-registry|threads|20
1790211983.051204365|book_reviews_nginx_scale|threads|19
1790211983.051204365|book_reviews_app3_scale|threads|56
1790211983.051204365|book_reviews_app1_scale|threads|56
1790211983.051204365|book_reviews_app2_scale|threads|56
1790211983.051204365|proyecto-del-curso-grupo_10_los_inhackeables-db-1|threads|7
1790211988.789544698|book_reviews_cache|threads|7
1790211988.789544698|book_reviews_search|threads|127
1790211988.789544698|book_reviews_mongodb|threads|72
1790211988.789544698|k3d-sa-a4-serverlb|threads|28
1790211988.789544698|k3d-sa-a4-agent-0|threads|330
1790211988.789544698|k3d-sa-a4-server-0|threads|434
1790211988.789544698|k3d-a4-registry|threads|20
1790211988.789544698|book_reviews_nginx_scale|threads|19
1790211988.789544698|book_reviews_app3_scale|threads|56
1790211988.789544698|book_reviews_app1_scale|threads|56
1790211988.789544698|book_reviews_app2_scale|threads|56
1790211988.789544698|proyecto-del-curso-grupo_10_los_inhackeables-db-1|threads|7
1790211994.349871959|book_reviews_cache|threads|7
1790211994.349871959|book_reviews_search|threads|127
1790211994.349871959|book_reviews_mongodb|threads|72
1790211994.349871959|k3d-sa-a4-serverlb|threads|28
1790211994.349871959|k3d-sa-a4-agent-0|threads|331
1790211994.349871959|k3d-sa-a4-server-0|threads|434
1790211994.349871959|k3d-a4-registry|threads|20
1790211994.349871959|book_reviews_nginx_scale|threads|19
1790211994.349871959|book_reviews_app3_scale|threads|56
1790211994.349871959|book_reviews_app1_scale|threads|56
1790211994.349871959|book_reviews_app2_scale|threads|56
1790211994.349871959|proyecto-del-curso-grupo_10_los_inhackeables-db-1|threads|8
1790212001.178005335|book_reviews_cache|threads|7
1790212001.178005335|book_reviews_search|threads|127
1790212001.178005335|book_reviews_mongodb|threads|72
1790212001.178005335|k3d-sa-a4-serverlb|threads|28
1790212001.178005335|k3d-sa-a4-agent-0|threads|331
1790212001.178005335|k3d-sa-a4-server-0|threads|434
1790212001.178005335|k3d-a4-registry|threads|20
1790212001.178005335|book_reviews_nginx_scale|threads|19
1790212001.178005335|book_reviews_app3_scale|threads|56
1790212001.178005335|book_reviews_app1_scale|threads|56
1790212001.178005335|book_reviews_app2_scale|threads|56
1790212001.178005335|proyecto-del-curso-grupo_10_los_inhackeables-db-1|threads|7
1790212006.857489079|book_reviews_cache|threads|7
1790212006.857489079|book_reviews_search|threads|127
1790212006.857489079|book_reviews_mongodb|threads|72
1790212006.857489079|k3d-sa-a4-serverlb|threads|28
1790212006.857489079|k3d-sa-a4-agent-0|threads|330
1790212006.857489079|k3d-sa-a4-server-0|threads|434
1790212006.857489079|k3d-a4-registry|threads|20
1790212006.857489079|book_reviews_nginx_scale|threads|19
1790212006.857489079|book_reviews_app3_scale|threads|56
1790212006.857489079|book_reviews_app1_scale|threads|56
1790212006.857489079|book_reviews_app2_scale|threads|56
1790212006.857489079|proyecto-del-curso-grupo_10_los_inhackeables-db-1|threads|7
1790212012.318421961|book_reviews_cache|threads|7
1790212012.318421961|book_reviews_search|threads|127
1790212012.318421961|book_reviews_mongodb|threads|72
1790212012.318421961|k3d-sa-a4-serverlb|threads|28
1790212012.318421961|k3d-sa-a4-agent-0|threads|330
1790212012.318421961|k3d-sa-a4-server-0|threads|434
1790212012.318421961|k3d-a4-registry|threads|20
1790212012.318421961|book_reviews_nginx_scale|threads|19
1790212012.318421961|book_reviews_app3_scale|threads|56
1790212012.318421961|book_reviews_app1_scale|threads|56
1790212012.318421961|book_reviews_app2_scale|threads|56
1790212012.318421961|proyecto-del-curso-grupo_10_los_inhackeables-db-1|threads|7
1790212018.509341873|book_reviews_cache|threads|7
1790212018.509341873|book_reviews_search|threads|127
1790212018.509341873|book_reviews_mongodb|threads|72
1790212018.509341873|k3d-sa-a4-serverlb|threads|28
