1790057608.195565553|k3d-sa-a4-server-0|500.56%|1.444GiB / 7.406GiB|408
1790057608.195565553|k3d-a4-registry|0.00%|17.58MiB / 7.406GiB|18
1790057608.195565553|book_reviews_nginx_scale|0.00%|25.63MiB / 7.406GiB|18
1790057608.195565553|book_reviews_app1_scale|0.21%|82.53MiB / 7.406GiB|55
1790057608.195565553|book_reviews_app3_scale|0.58%|83.08MiB / 7.406GiB|55
1790057608.195565553|book_reviews_app2_scale|0.52%|82.63MiB / 7.406GiB|55
1790057608.195565553|book_reviews_search_scale|4.04%|756.4MiB / 7.406GiB|140
1790057608.195565553|book_reviews_cache_scale|0.49%|13.88MiB / 7.406GiB|6
1790057608.195565553|book_reviews_mongodb_scale|16.66%|259.1MiB / 7.406GiB|77
1790057608.195565553|proyecto-del-curso-grupo_10_los_inhackeables-db-1|0.00%|33.93MiB / 7.406GiB|6
1790057613.891971307|k3d-sa-a4-serverlb|43.66%|16.88MiB / 7.406GiB|27
1790057613.891971307|k3d-sa-a4-agent-0|300.07%|1.443GiB / 7.406GiB|349
1790057613.891971307|k3d-sa-a4-server-0|468.61%|1.427GiB / 7.406GiB|408
1790057613.891971307|k3d-a4-registry|0.29%|19.16MiB / 7.406GiB|18
1790057613.891971307|book_reviews_nginx_scale|0.00%|25.63MiB / 7.406GiB|18
1790057613.891971307|book_reviews_app1_scale|0.29%|82.53MiB / 7.406GiB|55
1790057613.891971307|book_reviews_app3_scale|0.54%|83.33MiB / 7.406GiB|55
1790057613.891971307|book_reviews_app2_scale|0.56%|82.64MiB / 7.406GiB|55
1790057613.891971307|book_reviews_search_scale|0.91%|752.8MiB / 7.406GiB|140
1790057613.891971307|book_reviews_cache_scale|0.54%|13.62MiB / 7.406GiB|6
1790057613.891971307|book_reviews_mongodb_scale|1.85%|160.1MiB / 7.406GiB|71
1790057613.891971307|proyecto-del-curso-grupo_10_los_inhackeables-db-1|0.00%|33.13MiB / 7.406GiB|6
1790057619.169707250|k3d-sa-a4-serverlb|52.52%|17.89MiB / 7.406GiB|27
1790057619.169707250|k3d-sa-a4-agent-0|17.42%|1.439GiB / 7.406GiB|348
1790057619.169707250|k3d-sa-a4-server-0|703.05%|1.444GiB / 7.406GiB|408
1790057619.169707250|k3d-a4-registry|0.01%|19.19MiB / 7.406GiB|18
1790057619.169707250|book_reviews_nginx_scale|0.00%|25.65MiB / 7.406GiB|18
1790057619.169707250|book_reviews_app1_scale|0.14%|82.49MiB / 7.406GiB|55
1790057619.169707250|book_reviews_app3_scale|1.16%|83.05MiB / 7.406GiB|55
1790057619.169707250|book_reviews_app2_scale|1.77%|82.61MiB / 7.406GiB|55
1790057619.169707250|book_reviews_search_scale|0.83%|752.6MiB / 7.406GiB|140
1790057619.169707250|book_reviews_cache_scale|0.47%|13.98MiB / 7.406GiB|6
1790057619.169707250|book_reviews_mongodb_scale|0.99%|160.5MiB / 7.406GiB|71
1790057619.169707250|proyecto-del-curso-grupo_10_los_inhackeables-db-1|0.00%|33.12MiB / 7.406GiB|6
