uid,status,bytes,seconds
0,200,66069,0.067555
1,200,66069,0.130212
2,200,66069,0.076396
3,200,66069,0.100945
4,200,66069,0.039015
5,200,66069,0.100775
6,200,66069,0.105799
7,200,66069,0.035809
8,200,66069,0.066526
9,200,66069,0.073325
10,200,66069,0.048777
11,200,66069,0.102650
12,200,66069,0.075267
13,200,66069,0.021225
14,200,66069,0.070051
15,200,66069,0.079546
16,200,66069,0.078997
17,200,66069,0.079048
18,200,66069,0.009332
19,200,66069,0.063194
20,200,66069,0.006309
21,200,66069,0.008577
22,200,66069,0.010452
23,200,66069,0.007527
24,200,66069,0.016661
25,200,66069,0.040116
26,200,66069,0.047800
27,200,66069,0.036848
28,200,66069,0.061027
29,200,66069,0.072378
30,200,66069,0.036384
31,200,66069,0.044588
32,200,66069,0.036342
33,200,66069,0.045904
34,200,66069,0.051357
35,200,66069,0.081454
36,200,66069,0.056230
37,200,66069,0.042469
38,200,66069,0.044403
39,200,66069,0.057607
40,200,66069,0.115655
41,200,66069,0.077080
42,200,66069,0.081144
43,200,66069,0.089604
44,200,66069,0.067937
45,200,66069,0.059313
46,200,66069,0.113108
47,200,66069,0.072133
48,200,66069,0.072873
49,200,66069,0.068273
50,200,66069,0.078072
51,200,66069,0.110936
52,200,66069,0.079446
53,200,66069,0.067771
54,200,66069,0.060923
55,200,66069,0.076265
56,200,66069,0.061214
57,200,66069,0.044769
58,200,66069,0.075447
59,200,66069,0.094451
60,200,66069,0.069371
61,200,66069,0.070581
62,200,66069,0.103532
63,200,66069,0.083281
64,200,66069,0.080866
65,200,66069,0.082242
66,200,66069,0.114180
67,200,66069,0.125671
68,200,66069,0.066101
69,200,66069,0.094721
70,200,66069,0.070578
71,200,66069,0.072302
72,200,66069,0.074039
73,200,66069,0.052656
74,200,66069,0.057353
75,200,66069,0.084780
76,200,66069,0.048151
77,200,66069,0.054925
78,200,66069,0.088280
79,200,66069,0.060134
80,200,66069,0.062349
81,200,66069,0.052734
82,200,66069,0.063425
83,200,66069,0.074454
84,200,66069,0.073710
85,200,66069,0.049946
86,200,66069,0.051281
87,200,66069,0.065431
88,200,66069,0.100720
89,200,66069,0.063799
90,200,66069,0.075043
91,200,66069,0.077419
92,200,66069,0.064064
93,200,66069,0.079504
94,200,66069,0.064372
95,200,66069,0.103258
96,200,66069,0.081635
97,200,66069,0.069347
98,200,66069,0.066218
99,200,66069,0.103768
100,200,66069,0.048062
101,200,66069,0.055074
102,200,66069,0.058199
103,200,66069,0.122748
104,200,66069,0.077577
105,200,66069,0.079100
106,200,66069,0.078346
107,200,66069,0.068428
108,200,66069,0.040522
109,200,66069,0.086641
110,200,66069,0.082822
111,200,66069,0.088160
112,200,66069,0.079247
113,200,66069,0.092934
114,200,66069,0.062002
115,200,66069,0.049257
116,200,66069,0.066680
117,200,66069,0.056127
118,200,66069,0.044269
119,200,66069,0.065021
120,200,66069,0.051610
121,200,66069,0.051915
122,200,66069,0.078979
123,200,66069,0.041718
124,200,66069,0.065370
125,200,66069,0.050348
126,200,66069,0.041482
127,200,66069,0.095869
128,200,66069,0.039082
129,200,66069,0.060036
130,200,66069,0.116108
131,200,66069,0.069847
132,200,66069,0.085845
133,200,66069,0.035562
134,200,66069,0.069668
135,200,66069,0.062302
136,200,66069,0.057265
137,200,66069,0.058839
138,200,66069,0.068086
139,200,66069,0.076595
140,200,66069,0.038499
141,200,66069,0.060951
142,200,66069,0.082182
143,200,66069,0.046230
144,200,66069,0.078465
145,200,66069,0.061755
146,200,66069,0.050968
147,200,66069,0.076345
148,200,66069,0.117940
149,200,66069,0.063852
150,200,66069,0.136317
151,200,66069,0.113331
152,200,66069,0.092417
153,200,66069,0.082968
154,200,66069,0.140773
155,200,66069,0.084145
156,200,66069,0.079590
157,200,66069,0.143414
158,200,66069,0.080237
159,200,66069,0.055982
160,200,66069,0.066683
161,200,66069,0.074052
162,200,66069,0.117040
163,200,66069,0.057191
164,200,66069,0.043245
165,200,66069,0.100961
166,200,66069,0.095118
167,200,66069,0.200607
168,200,66069,0.176741
169,200,66069,0.069385
170,200,66069,0.068159
171,200,66069,0.064907
172,200,66069,0.076907
173,200,66069,0.102099
174,200,66069,0.078338
175,200,66069,0.089309
176,200,66069,0.083574
177,200,66069,0.085090
178,200,66069,0.156931
179,200,66069,0.090710
180,200,66069,0.076670
181,200,66069,0.121672
182,200,66069,0.126257
183,200,66069,0.147072
184,200,66069,0.139901
185,200,66069,0.185046
186,200,66069,0.139552
187,200,66069,0.146302
188,200,66069,0.078543
189,200,66069,0.164887
190,200,66069,0.099015
191,200,66069,0.158401
192,200,66069,0.123342
193,200,66069,0.120183
194,200,66069,0.129083
195,200,66069,0.106518
196,200,66069,0.095014
197,200,66069,0.151801
198,200,66069,0.166927
199,200,66069,0.084699
200,200,66069,0.112939
201,200,66069,0.139734
202,200,66069,0.151154
203,200,66069,0.116419
204,200,66069,0.124842
205,200,66069,0.102099
206,200,66069,0.109786
207,200,66069,0.113752
208,200,66069,0.122107
209,200,66069,0.083611
210,200,66069,0.084417
211,200,66069,0.118061
212,200,66069,0.073608
213,200,66069,0.106094
214,200,66069,0.087885
215,200,66069,0.066062
216,200,66069,0.077687
217,200,66069,0.092499
218,200,66069,0.081150
219,200,66069,0.066949
220,200,66069,0.060855
221,200,66069,0.095363
222,200,66069,0.098778
223,200,66069,0.046872
224,200,66069,0.089869
225,200,66069,0.113688
226,200,66069,0.083736
227,200,66069,0.056415
228,200,66069,0.105611
229,200,66069,0.063097
230,200,66069,0.072571
231,200,66069,0.072271
232,200,66069,0.089279
233,200,66069,0.082590
234,200,66069,0.093489
235,200,66069,0.085761
236,200,66069,0.095746
237,200,66069,0.076515
238,200,66069,0.061217
239,200,66069,0.057925
240,200,66069,0.129428
241,200,66069,0.149387
242,200,66069,0.094458
243,200,66069,0.105662
244,200,66069,0.102721
245,200,66069,0.063706
246,200,66069,0.056846
247,200,66069,0.075851
248,200,66069,0.090333
249,200,66069,0.066768
250,200,66069,0.089199
251,200,66069,0.074156
252,200,66069,0.074865
253,200,66069,0.142339
254,200,66069,0.059389
255,200,66069,0.096934
256,200,66069,0.091859
257,200,66069,0.094726
258,200,66069,0.038828
259,200,66069,0.062396
260,200,66069,0.064620
261,200,66069,0.040966
262,200,66069,0.087759
263,200,66069,0.089830
264,200,66069,0.083462
265,200,66069,0.109036
266,200,66069,0.070226
267,200,66069,0.069694
268,200,66069,0.114181
269,200,66069,0.078061
270,200,66069,0.090795
271,200,66069,0.073832
272,200,66069,0.062788
273,200,66069,0.096198
274,200,66069,0.045477
275,200,66069,0.058705
276,200,66069,0.066773
277,200,66069,0.059240
278,200,66069,0.108882
279,200,66069,0.123954
280,200,66069,0.095617
281,200,66069,0.085256
282,200,66069,0.114731
283,200,66069,0.104336
284,200,66069,0.098266
285,200,66069,0.065337
286,200,66069,0.100258
287,200,66069,0.070776
288,200,66069,0.061592
289,200,66069,0.089155
290,200,66069,0.066543
291,200,66069,0.053001
292,200,66069,0.084547
293,200,66069,0.069313
294,200,66069,0.052987
295,200,66069,0.068773
296,200,66069,0.068724
297,200,66069,0.064308
298,200,66069,0.113742
299,200,66069,0.072978
300,200,66069,0.055587
301,200,66069,0.057416
302,200,66069,0.077409
303,200,66069,0.058044
304,200,66069,0.067551
305,200,66069,0.048944
306,200,66069,0.052514
307,200,66069,0.049497
308,200,66069,0.077073
309,200,66069,0.083482
310,200,66069,0.077556
311,200,66069,0.071787
312,200,66069,0.081693
313,200,66069,0.055171
314,200,66069,0.084863
315,200,66069,0.046422
316,200,66069,0.114316
317,200,66069,0.126508
318,200,66069,0.049592
319,200,66069,0.046288
320,200,66069,0.079520
321,200,66069,0.055961
322,200,66069,0.069000
323,200,66069,0.066689
324,200,66069,0.082758
325,200,66069,0.105627
326,200,66069,0.051122
327,200,66069,0.119054
328,200,66069,0.115262
329,200,66069,0.074975
330,200,66069,0.091925
331,200,66069,0.065711
332,200,66069,0.063958
333,200,66069,0.083812
334,200,66069,0.097527
335,200,66069,0.096692
336,200,66069,0.064209
337,200,66069,0.073274
338,200,66069,0.095383
339,200,66069,0.085411
340,200,66069,0.073671
341,200,66069,0.096112
342,200,66069,0.065669
343,200,66069,0.084349
344,200,66069,0.065264
345,200,66069,0.081672
346,200,66069,0.129099
347,200,66069,0.080781
348,200,66069,0.069836
349,200,66069,0.093566
350,200,66069,0.051151
351,200,66069,0.089330
352,200,66069,0.096274
353,200,66069,0.084752
354,200,66069,0.053727
355,200,66069,0.081536
356,200,66069,0.077289
357,200,66069,0.056220
358,200,66069,0.055339
359,200,66069,0.051956
360,200,66069,0.102113
361,200,66069,0.077787
362,200,66069,0.060233
363,200,66069,0.078534
364,200,66069,0.106192
365,200,66069,0.097957
366,200,66069,0.107061
367,200,66069,0.092755
368,200,66069,0.088465
369,200,66069,0.083966
370,200,66069,0.059561
371,200,66069,0.093314
372,200,66069,0.071393
373,200,66069,0.086775
374,200,66069,0.077180
375,200,66069,0.049457
376,200,66069,0.105549
377,200,66069,0.059589
378,200,66069,0.082900
379,200,66069,0.064303
380,200,66069,0.096775
381,200,66069,0.063515
382,200,66069,0.068327
383,200,66069,0.046746
384,200,66069,0.089220
385,200,66069,0.063739
386,200,66069,0.066939
387,200,66069,0.119867
388,200,66069,0.083276
389,200,66069,0.049059
390,200,66069,0.085561
391,200,66069,0.082092
392,200,66069,0.068008
393,200,66069,0.095574
394,200,66069,0.075609
395,200,66069,0.057749
396,200,66069,0.077975
397,200,66069,0.064318
398,200,66069,0.073684
399,200,66069,0.052624
400,200,66069,0.054483
401,200,66069,0.041753
402,200,66069,0.112528
403,200,66069,0.107053
404,200,66069,0.093694
405,200,66069,0.066585
406,200,66069,0.076384
407,200,66069,0.138332
408,200,66069,0.118073
409,200,66069,0.097005
410,200,66069,0.070251
411,200,66069,0.075269
412,200,66069,0.085709
413,200,66069,0.091976
414,200,66069,0.050603
415,200,66069,0.091873
416,200,66069,0.067930
417,200,66069,0.082278
418,200,66069,0.047392
419,200,66069,0.045086
420,200,66069,0.065169
421,200,66069,0.062780
422,200,66069,0.098247
423,200,66069,0.088507
424,200,66069,0.076257
425,200,66069,0.120003
426,200,66069,0.056423
427,200,66069,0.077837
428,200,66069,0.057846
429,200,66069,0.083916
430,200,66069,0.071780
431,200,66069,0.085149
432,200,66069,0.083463
433,200,66069,0.089087
434,200,66069,0.095608
435,200,66069,0.062618
436,200,66069,0.071418
437,200,66069,0.064848
438,200,66069,0.070818
439,200,66069,0.079272
440,200,66069,0.088027
441,200,66069,0.095933
442,200,66069,0.077731
443,200,66069,0.055887
444,200,66069,0.077416
445,200,66069,0.037992
446,200,66069,0.092730
447,200,66069,0.064153
448,200,66069,0.080989
449,200,66069,0.086344
450,200,66069,0.064771
451,200,66069,0.083801
452,200,66069,0.063689
453,200,66069,0.062145
454,200,66069,0.051534
455,200,66069,0.082365
456,200,66069,0.101737
457,200,66069,0.088106
458,200,66069,0.073387
459,200,66069,0.084414
460,200,66069,0.087535
461,200,66069,0.077185
462,200,66069,0.086771
463,200,66069,0.077195
464,200,66069,0.062470
465,200,66069,0.059732
466,200,66069,0.066355
467,200,66069,0.080036
468,200,66069,0.057004
469,200,66069,0.066736
470,200,66069,0.055424
471,200,66069,0.077399
472,200,66069,0.080519
473,200,66069,0.073798
474,200,66069,0.055304
475,200,66069,0.062885
476,200,66069,0.058336
477,200,66069,0.047425
478,200,66069,0.060097
