uid,status,bytes,seconds
0,200,11402,0.096696
1,200,11402,0.084710
2,200,11402,0.037218
3,200,11402,0.052775
4,200,11402,0.096080
5,200,11402,0.031847
6,200,11402,0.029043
7,200,11402,0.025700
8,200,11402,0.073845
9,200,11402,0.038167
10,200,11402,0.083624
11,200,11402,0.092351
12,200,11402,0.038176
13,200,11402,0.063188
14,200,11402,0.047405
15,200,11402,0.009763
16,200,11402,0.011329
17,200,11402,0.015589
18,200,11402,0.023904
19,200,11402,0.013303
20,200,11402,0.029213
21,200,11402,0.040102
22,200,11402,0.035473
23,200,11402,0.028458
24,200,11402,0.046174
25,200,11402,0.035662
26,200,11402,0.071823
27,200,11402,0.040445
28,200,11402,0.027153
29,200,11402,0.044136
30,200,11402,0.029557
31,200,11402,0.051921
32,200,11402,0.056030
33,200,11402,0.069962
34,200,11402,0.039582
35,200,11402,0.059472
36,200,11402,0.051523
37,200,11402,0.039646
38,200,11402,0.059528
39,200,11402,0.095911
40,200,11402,0.078747
41,200,11402,0.076623
42,200,11402,0.080077
43,200,11402,0.065481
44,200,11402,0.072252
45,200,11402,0.077520
46,200,11402,0.107227
47,200,11402,0.050961
48,200,11402,0.054548
49,200,11402,0.074815
50,200,11402,0.041918
51,200,11402,0.081527
52,200,11402,0.050458
53,200,11402,0.052291
54,200,11402,0.072334
55,200,11402,0.069078
56,200,11402,0.090504
57,200,11402,0.060975
58,200,11402,0.083410
59,200,11402,0.075982
60,200,11402,0.070620
61,200,11402,0.051625
62,200,11402,0.046428
63,200,11402,0.099252
64,200,11402,0.040607
65,200,11402,0.061506
66,200,11402,0.050984
67,200,11402,0.044149
68,200,11402,0.071707
69,200,11402,0.082605
70,200,11402,0.045747
71,200,11402,0.071033
72,200,11402,0.068375
73,200,11402,0.044677
74,200,11402,0.070940
75,200,11402,0.070480
76,200,11402,0.090056
77,200,11402,0.053232
78,200,11402,0.080704
79,200,11402,0.069289
80,200,11402,0.047677
81,200,11402,0.072030
82,200,11402,0.066274
83,200,11402,0.046660
84,200,11402,0.049944
85,200,11402,0.057687
86,200,11402,0.097662
87,200,11402,0.091226
88,200,11402,0.064370
89,200,11402,0.044386
90,200,11402,0.067295
91,200,11402,0.056021
92,200,11402,0.042606
93,200,11402,0.074059
94,200,11402,0.069890
95,200,11402,0.046532
96,200,11402,0.091676
97,200,11402,0.044584
98,200,11402,0.078811
99,200,11402,0.037091
100,200,11402,0.066421
101,200,11402,0.093181
102,200,11402,0.070334
103,200,11402,0.033416
104,200,11402,0.081075
105,200,11402,0.069097
106,200,11402,0.056392
107,200,11402,0.044502
108,200,11402,0.089908
109,200,11402,0.031863
110,200,11402,0.048283
111,200,11402,0.067465
112,200,11402,0.075329
113,200,11402,0.060547
114,200,11402,0.058489
115,200,11402,0.088371
116,200,11402,0.100720
117,200,11402,0.052776
118,200,11402,0.090389
119,200,11402,0.066474
120,200,11402,0.062023
121,200,11402,0.055114
122,200,11402,0.044021
123,200,11402,0.074539
124,200,11402,0.104166
125,200,11402,0.063485
126,200,11402,0.077215
127,200,11402,0.060506
