uid,status,bytes,seconds
0,200,49376,0.027090
1,200,49376,0.032033
2,200,49376,0.034747
3,200,49376,0.032620
4,200,49376,0.045328
5,200,49376,0.041851
6,200,49376,0.039195
7,200,49376,0.038672
8,200,49376,0.040689
9,200,49376,0.040101
10,200,49376,0.033308
11,200,49376,0.038051
12,200,49376,0.057192
13,200,49376,0.062066
14,200,49376,0.046006
15,200,49376,0.047606
16,200,49376,0.043858
17,200,49376,0.070234
18,200,49376,0.083637
19,200,49376,0.086226
20,200,49376,0.117530
21,200,49376,0.115211
22,200,49376,0.105638
23,200,49376,0.083028
24,200,49376,0.095129
25,200,49376,0.089523
26,200,49376,0.063075
27,200,49376,0.070463
28,200,49376,0.071295
29,200,49376,0.049366
30,200,49376,0.051106
31,200,49376,0.053501
32,200,49376,0.060600
33,200,49376,0.052410
34,200,49376,0.048953
35,200,49376,0.036622
36,200,49376,0.028493
37,200,49376,0.029347
38,200,49376,0.029163
39,200,49376,0.042192
40,200,49376,0.031333
41,200,49376,0.032260
42,200,49376,0.022042
43,200,49376,0.035427
44,200,49376,0.033558
45,200,49376,0.030439
46,200,49376,0.032562
47,200,49376,0.037223
48,200,49376,0.035340
49,200,49376,0.052181
50,200,49376,0.053821
51,200,49376,0.042777
52,200,49376,0.047394
53,200,49376,0.037792
54,200,49376,0.063408
55,200,49376,0.060656
56,200,49376,0.041364
57,200,49376,0.064262
58,200,49376,0.095651
59,200,49376,0.065048
60,200,49376,0.083221
61,200,49376,0.032670
62,200,49376,0.035047
63,200,49376,0.087017
64,200,49376,0.035022
65,200,49376,0.084320
66,200,49376,0.035939
67,200,49376,0.077511
68,200,49376,0.054882
69,200,49376,0.051793
70,200,49376,0.062590
71,200,49376,0.065360
72,200,49376,0.070659
73,200,49376,0.071735
74,200,49376,0.063015
75,200,49376,0.070261
76,200,49376,0.069663
77,200,49376,0.070617
78,200,49376,0.070371
79,200,49376,0.067546
80,200,49376,0.039891
81,200,49376,0.041878
82,200,49376,0.068792
83,200,49376,0.049193
84,200,49376,0.068423
85,200,49376,0.059844
86,200,49376,0.067362
87,200,49376,0.067591
88,200,49376,0.067072
89,200,49376,0.058740
90,200,49376,0.060014
91,200,49376,0.036996
92,200,49376,0.062530
93,200,49376,0.054461
94,200,49376,0.062952
95,200,49376,0.063981
96,200,49376,0.062447
97,200,49376,0.053496
98,200,49376,0.062341
99,200,49376,0.061088
