timestamp|container|cpu_percent|mem_usage|mem_limit|processes
1790212445.904286355|book_reviews_cache|0.30%|12.85MiB|7.406GiB|6
1790212445.904286355|book_reviews_search|0.63%|621.2MiB|7.406GiB|130
1790212445.904286355|book_reviews_mongodb|0.93%|165.1MiB|7.406GiB|71
1790212445.904286355|k3d-sa-a4-serverlb|0.00%|5.465MiB|7.406GiB|27
1790212445.904286355|k3d-sa-a4-agent-0|5.55%|1.47GiB|7.406GiB|329
1790212445.904286355|k3d-sa-a4-server-0|8.62%|1.362GiB|7.406GiB|433
1790212445.904286355|k3d-a4-registry|0.00%|12.45MiB|7.406GiB|19
1790212445.904286355|proyecto-del-curso-grupo_10_los_inhackeables-db-1|0.01%|28.71MiB|7.406GiB|6
1790212450.528053070|book_reviews_nginx_scale|0.00%|11.91MiB|7.406GiB|18
1790212450.528053070|book_reviews_app3_scale|0.13%|136MiB|7.406GiB|55
1790212450.528053070|book_reviews_app1_scale|0.11%|157.7MiB|7.406GiB|55
1790212450.528053070|book_reviews_app2_scale|0.40%|148MiB|7.406GiB|55
1790212450.528053070|book_reviews_cache|0.30%|12.8MiB|7.406GiB|6
1790212450.528053070|book_reviews_search|0.89%|633MiB|7.406GiB|130
1790212450.528053070|book_reviews_mongodb|0.36%|170.3MiB|7.406GiB|71
1790212450.528053070|k3d-sa-a4-serverlb|0.00%|5.281MiB|7.406GiB|27
1790212450.528053070|k3d-sa-a4-agent-0|8.14%|1.476GiB|7.406GiB|329
1790212450.528053070|k3d-sa-a4-server-0|32.13%|1.469GiB|7.406GiB|439
1790212450.528053070|k3d-a4-registry|0.00%|15.41MiB|7.406GiB|19
1790212450.528053070|proyecto-del-curso-grupo_10_los_inhackeables-db-1|0.00%|31.31MiB|7.406GiB|6
