uid,status,bytes,seconds
0,200,11269,0.061409
1,200,11269,0.030286
2,200,11269,0.098393
3,200,11269,0.042349
4,200,11269,0.065791
5,200,11269,0.090846
6,200,11269,0.102560
7,200,11269,0.032889
8,200,11269,0.018660
9,200,11269,0.099942
10,200,11269,0.043528
11,200,11269,0.063087
12,200,11269,0.017254
13,200,11269,0.018499
14,200,11269,0.018528
15,200,11269,0.025551
16,200,11269,0.040613
17,200,11269,0.039282
18,200,11269,0.060120
19,200,11269,0.036748
20,200,11269,0.046904
21,200,11269,0.060370
22,200,11269,0.021699
23,200,11269,0.054950
24,200,11269,0.090846
25,200,11269,0.056445
26,200,11269,0.030071
27,200,11269,0.039868
28,200,11269,0.107859
29,200,11269,0.076473
30,200,11269,0.080836
31,200,11269,0.099287
32,200,11269,0.100620
33,200,11269,0.063101
34,200,11269,0.069964
35,200,11269,0.089665
36,200,11269,0.060041
37,200,11269,0.067145
38,200,11269,0.075917
39,200,11269,0.074727
40,200,11269,0.070387
41,200,11269,0.079017
42,200,11269,0.069358
43,200,11269,0.077055
44,200,11269,0.099195
45,200,11269,0.052253
46,200,11269,0.094981
47,200,11269,0.081590
48,200,11269,0.098252
49,200,11269,0.084288
50,200,11269,0.050723
51,200,11269,0.091614
52,200,11269,0.059395
53,200,11269,0.076895
54,200,11269,0.066652
55,200,11269,0.077040
56,200,11269,0.074810
57,200,11269,0.068021
58,200,11269,0.083446
59,200,11269,0.076224
60,200,11269,0.084922
61,200,11269,0.080799
62,200,11269,0.064389
63,200,11269,0.064915
64,200,11269,0.061505
65,200,11269,0.074917
66,200,11269,0.093349
67,200,11269,0.072644
68,200,11269,0.069546
69,200,11269,0.050678
70,200,11269,0.078408
71,200,11269,0.062141
72,200,11269,0.103082
73,200,11269,0.049409
74,200,11269,0.101794
75,200,11269,0.075647
76,200,11269,0.056156
77,200,11269,0.061282
78,200,11269,0.080604
79,200,11269,0.065904
80,200,11269,0.058960
81,200,11269,0.073009
82,200,11269,0.049797
83,200,11269,0.057129
84,200,11269,0.124892
85,200,11269,0.094504
86,200,11269,0.086915
87,200,11269,0.058622
88,200,11269,0.064198
89,200,11269,0.044829
90,200,11269,0.047756
91,200,11269,0.090398
92,200,11269,0.088482
93,200,11269,0.058282
94,200,11269,0.109776
95,200,11269,0.057188
96,200,11269,0.062860
97,200,11269,0.070246
98,200,11269,0.082001
99,200,11269,0.053633
100,200,11269,0.093048
101,200,11269,0.070975
102,200,11269,0.065233
103,200,11269,0.113134
104,200,11269,0.096293
105,200,11269,0.060600
106,200,11269,0.060556
107,200,11269,0.072154
108,200,11269,0.052809
109,200,11269,0.086010
110,200,11269,0.069905
111,200,11269,0.069969
112,200,11269,0.051452
113,200,11269,0.064062
114,200,11269,0.042814
115,200,11269,0.052557
116,200,11269,0.083998
117,200,11269,0.051824
118,200,11269,0.068343
119,200,11269,0.065574
120,200,11269,0.076358
121,200,11269,0.038541
122,200,11269,0.045764
123,200,11269,0.072575
124,200,11269,0.074043
125,200,11269,0.077624
126,200,11269,0.068944
127,200,11269,0.054661
128,200,11269,0.059370
129,200,11269,0.060099
130,200,11269,0.058881
131,200,11269,0.074436
132,200,11269,0.069987
133,200,11269,0.062256
134,200,11269,0.103251
135,200,11269,0.074851
136,200,11269,0.057567
137,200,11269,0.059110
138,200,11269,0.060955
139,200,11269,0.065227
140,200,11269,0.051312
141,200,11269,0.082990
142,200,11269,0.082291
143,200,11269,0.089419
144,200,11269,0.131300
145,200,11269,0.048901
146,200,11269,0.060483
147,200,11269,0.078695
148,200,11269,0.065583
149,200,11269,0.047719
150,200,11269,0.047036
151,200,11269,0.034186
152,200,11269,0.045734
153,200,11269,0.034243
154,200,11269,0.104355
155,200,11269,0.071352
156,200,11269,0.060794
157,200,11269,0.057003
158,200,11269,0.045222
159,200,11269,0.068144
160,200,11269,0.054071
161,200,11269,0.049414
162,200,11269,0.095433
163,200,11269,0.043706
164,200,11269,0.063410
165,200,11269,0.093854
166,200,11269,0.061660
167,200,11269,0.118521
168,200,11269,0.073307
169,200,11269,0.049682
170,200,11269,0.072231
171,200,11269,0.057608
172,200,11269,0.082115
173,200,11269,0.076627
174,200,11269,0.082511
175,200,11269,0.097962
176,200,11269,0.079508
177,200,11269,0.064644
178,200,11269,0.043804
179,200,11269,0.109421
180,200,11269,0.092002
181,200,11269,0.067057
182,200,11269,0.078292
183,200,11269,0.073373
184,200,11269,0.101440
185,200,11269,0.075136
186,200,11269,0.079931
187,200,11269,0.115190
188,200,11269,0.065663
189,200,11269,0.112246
190,200,11269,0.089910
191,200,11269,0.076676
192,200,11269,0.048988
193,200,11269,0.071884
194,200,11269,0.065352
195,200,11269,0.063747
196,200,11269,0.091690
197,200,11269,0.079355
198,200,11269,0.060589
199,200,11269,0.097626
200,200,11269,0.060725
201,200,11269,0.057409
202,200,11269,0.052412
203,200,11269,0.081836
204,200,11269,0.099475
205,200,11269,0.070669
206,200,11269,0.057239
207,200,11269,0.076891
208,200,11269,0.055205
209,200,11269,0.066847
210,200,11269,0.056052
211,200,11269,0.086443
