uid,status,bytes,seconds
0,200,24247,0.086871
1,200,24247,0.082858
2,200,24247,0.090394
3,200,24247,0.042075
4,200,24247,0.103731
5,200,24247,0.081219
6,200,24247,0.037430
7,200,24247,0.058655
8,200,24247,0.024999
9,200,24247,0.059670
10,200,24247,0.062474
11,200,24247,0.049965
12,200,24247,0.111580
13,200,24247,0.107731
14,200,24247,0.078444
15,200,24247,0.118179
16,200,24247,0.101498
17,200,24247,0.088891
18,200,24247,0.058887
19,200,24247,0.130128
20,200,24247,0.097168
21,200,24247,0.087834
22,200,24247,0.090084
23,200,24247,0.087302
24,200,24247,0.099412
25,200,24247,0.090916
26,200,24247,0.086875
27,200,24247,0.070674
28,200,24247,0.132938
29,200,24247,0.102852
30,200,24247,0.116955
31,200,24247,0.129021
32,200,24247,0.114721
33,200,24247,0.095151
34,200,24247,0.199537
35,200,24247,0.173217
36,200,24247,0.115213
37,200,24247,0.168894
38,200,24247,0.126277
39,200,24247,0.126744
40,200,24247,0.165692
41,200,24247,0.135633
42,200,24247,0.048458
43,200,24247,0.163526
44,200,24247,0.095553
45,200,24247,0.105306
46,200,24247,0.134017
47,200,24247,0.081591
48,200,24247,0.134344
49,200,24247,0.116561
50,200,24247,0.103321
51,200,24247,0.180435
52,200,24247,0.063993
53,200,24247,0.089551
54,200,24247,0.144744
55,200,24247,0.090184
56,200,24247,0.125772
57,200,24247,0.169912
58,200,24247,0.093240
59,200,24247,0.050752
60,200,24247,0.133380
61,200,24247,0.157270
62,200,24247,0.142679
63,200,24247,0.122835
64,200,24247,0.099777
65,200,24247,0.128133
66,200,24247,0.113489
67,200,24247,0.126938
68,200,24247,0.067375
69,200,24247,0.106834
70,200,24247,0.063358
71,200,24247,0.102842
72,200,24247,0.102830
73,200,24247,0.081009
74,200,24247,0.097605
75,200,24247,0.095545
76,200,24247,0.118241
77,200,24247,0.099212
78,200,24247,0.068279
79,200,24247,0.089169
80,200,24247,0.092363
81,200,24247,0.080813
82,200,24247,0.077697
83,200,24247,0.089148
84,200,24247,0.094626
85,200,24247,0.096327
86,200,24247,0.066077
87,200,24247,0.042640
88,200,24247,0.068615
89,200,24247,0.065978
90,200,24247,0.067921
91,200,24247,0.074301
92,200,24247,0.080280
93,200,24247,0.059257
94,200,24247,0.041868
95,200,24247,0.069073
96,200,24247,0.062391
97,200,24247,0.064756
98,200,24247,0.048142
99,200,24247,0.049701
