timestamp|container|cpu_percent|mem_usage|mem_limit|processes
1790212386.668211128|book_reviews_app3_scale|0.16%|142.3MiB|7.406GiB|55
1790212386.668211128|book_reviews_app1_scale|0.15%|159.7MiB|7.406GiB|55
1790212386.668211128|book_reviews_app2_scale|0.14%|148MiB|7.406GiB|55
1790212386.668211128|book_reviews_cache|0.31%|12.07MiB|7.406GiB|6
1790212386.668211128|book_reviews_search|0.63%|632MiB|7.406GiB|130
1790212386.668211128|book_reviews_mongodb|0.96%|199.3MiB|7.406GiB|71
1790212386.668211128|k3d-sa-a4-serverlb|0.00%|5.547MiB|7.406GiB|27
1790212386.668211128|k3d-sa-a4-agent-0|9.43%|1.466GiB|7.406GiB|329
1790212386.668211128|k3d-sa-a4-server-0|10.69%|1.416GiB|7.406GiB|433
1790212386.668211128|k3d-a4-registry|0.00%|17.35MiB|7.406GiB|19
1790212386.668211128|proyecto-del-curso-grupo_10_los_inhackeables-db-1|0.00%|34.43MiB|7.406GiB|6
