timestamp|container|cpu_percent|mem_usage|mem_limit|processes
1790212354.881440825|book_reviews_app3_scale|0.15%|140.2MiB|7.406GiB|55
1790212354.881440825|book_reviews_app1_scale|0.12%|163.8MiB|7.406GiB|55
1790212354.881440825|book_reviews_app2_scale|0.16%|147.8MiB|7.406GiB|55
1790212354.881440825|book_reviews_cache|2.06%|19.63MiB|7.406GiB|6
1790212354.881440825|book_reviews_search|0.67%|625.3MiB|7.406GiB|130
1790212354.881440825|book_reviews_mongodb|0.35%|222.7MiB|7.406GiB|71
1790212354.881440825|k3d-sa-a4-serverlb|0.00%|5.277MiB|7.406GiB|27
1790212354.881440825|k3d-sa-a4-agent-0|4.56%|1.448GiB|7.406GiB|329
1790212354.881440825|k3d-sa-a4-server-0|9.32%|1.387GiB|7.406GiB|433
1790212354.881440825|k3d-a4-registry|0.00%|12.52MiB|7.406GiB|19
1790212354.881440825|proyecto-del-curso-grupo_10_los_inhackeables-db-1|0.21%|30.72MiB|7.406GiB|6
